1000 10000
603 650 -8
272 539 -42
81 714 32
150 590 40
266 420 62
540 945 -75
121 518 78
390 578 -50
959 992 -91
434 849 58
515 691 64
193 405 70
177 485 -46
24 922 19
550 792 -55
106 939 46
416 490 -95
355 924 77
45 843 -44
247 467 -46
145 951 95
67 167 69
525 716 -29
228 982 -35
718 832 -12
186 191 81
33 378 -70
569 844 5
653 713 -18
588 819 39
269 464 -39
476 497 93
206 659 57
339 396 76
68 299 -10
219 816 55
526 820 13
106 114 -22
63 726 73
567 890 38
124 696 42
386 871 -98
170 709 14
122 876 -22
648 789 -31
207 246 -40
621 766 96
387 684 8
435 503 78
373 977 24
686 691 -85
165 360 7
148 291 -27
497 668 -67
316 786 -29
90 702 27
592 658 -7
284 635 61
326 547 83
191 907 52
280 482 2
300 570 -98
128 885 56
218 237 -25
85 894 76
368 391 -98
135 937 -34
187 325 52
455 819 35
376 934 5
61 162 0
326 398 90
410 619 -70
9 722 73
708 856 43
246 796 37
473 602 -32
438 758 91
193 952 -99
518 590 91
163 560 -7
884 933 -65
61 640 17
255 857 0
79 186 90
782 975 5
157 974 26
98 618 -22
780 882 -24
442 815 52
23 503 -42
629 696 71
362 881 -94
144 252 -32
408 759 -59
434 728 61
668 738 73
532 627 38
1 682 -95
729 967 -87
681 935 14
186 947 91
57 252 -49
37 611 43
517 701 36
495 528 -16
64 209 -27
382 515 96
449 711 -36
10 529 79
29 132 1
197 992 23
66 760 74
243 287 -58
586 658 -34
100 383 -52
446 689 -86
569 818 71
426 846 -19
443 622 -31
202 506 -98
100 357 -38
174 294 -47
600 908 -44
531 640 -58
348 383 7
127 160 -33
318 569 -19
770 823 -14
126 353 -30
178 878 62
129 160 -89
1 690 76
236 383 86
363 372 -73
493 689 56
71 614 -37
520 776 -8
24 50 41
183 632 97
626 632 64
603 862 58
932 975 -9
777 967 77
367 389 80
341 887 20
662 716 64
645 763 73
388 790 -92
393 603 -75
386 535 -32
611 704 51
329 884 -59
225 480 1
493 967 89
15 81 64
110 156 72
712 948 17
351 685 11
16 313 -31
791 899 -7
270 709 66
27 308 -50
322 368 -78
51 477 28
346 350 -89
48 101 73
116 605 -4
747 912 40
607 972 -81
266 732 -56
87 99 -67
489 496 -18
308 841 -76
350 760 51
307 656 -41
434 567 -20
41 902 88
697 985 96
364 784 61
180 859 -13
390 839 -90
92 243 73
67 250 -1
222 500 6
475 947 49
146 643 94
256 509 -1
567 788 20
309 412 23
6 49 -48
115 950 -22
172 481 57
407 427 56
703 904 98
311 952 81
603 871 -22
299 366 -29
78 347 76
27 400 27
232 285 -47
44 356 -79
59 630 -10
544 582 17
498 540 -81
190 911 -84
914 988 49
129 665 63
463 765 53
818 985 54
817 967 95
360 413 2
305 684 23
361 946 -81
83 274 97
211 213 32
675 739 -82
75 889 -71
57 668 -39
432 994 77
29 401 33
667 761 57
750 908 22
472 508 -86
422 598 42
414 662 -64
356 433 -86
702 816 3
216 589 -3
256 313 -13
220 389 67
307 896 -41
728 884 -67
284 649 58
297 640 -49
112 953 21
125 894 -7
73 438 -8
461 876 51
182 945 -3
772 828 -1
55 460 61
757 911 37
160 863 98
258 636 -7
331 816 -85
44 837 -2
106 782 -37
229 839 88
402 650 28
312 419 -25
876 930 -33
134 594 89
409 775 9
512 963 80
218 970 8
408 549 -32
514 951 14
792 932 -87
422 667 76
15 766 -14
892 925 -78
788 959 -1
62 528 -6
491 611 -94
4 509 -73
652 962 -46
735 924 -69
41 437 -74
361 805 90
144 763 8
206 267 27
109 975 -27
483 901 -98
862 898 4
274 821 -47
710 923 96
727 987 73
131 234 34
115 852 2
89 230 -71
482 823 8
565 720 42
691 839 3
601 965 -73
299 939 -35
71 532 -55
185 610 -93
118 191 -94
940 956 -67
10 520 1
52 357 9
309 635 10
646 933 19
68 128 49
243 737 75
423 712 -51
378 671 -12
32 266 6
568 975 -50
213 554 81
211 254 52
381 554 -81
109 796 47
531 699 9
369 875 -56
115 140 35
34 638 -48
851 982 -23
235 428 -41
275 981 83
384 831 34
497 882 25
371 682 1
148 189 -75
724 827 -66
57 542 40
321 834 -5
109 341 27
415 524 -56
263 282 -5
315 360 45
548 821 93
112 896 -53
546 653 -43
380 501 24
194 405 -30
171 439 -72
73 830 -16
541 614 0
194 435 65
306 920 33
229 817 34
82 611 -34
365 367 -94
519 804 20
89 348 -13
166 703 -80
712 846 -69
117 156 77
664 736 -80
516 627 -94
232 489 -81
7 554 -13
580 995 -46
627 745 36
58 824 -23
213 854 -25
58 517 -68
264 925 -87
369 752 -94
509 922 16
88 763 63
741 852 39
463 910 7
668 785 -25
595 843 -78
166 858 -74
170 886 70
678 887 -74
1 391 -99
242 939 -8
216 754 -28
1 454 -56
48 988 -60
236 505 -17
288 757 49
175 624 -1
201 366 19
492 628 -61
790 843 -68
244 678 -88
350 665 -99
117 937 -10
404 812 29
731 788 -8
283 428 59
55 222 -21
91 363 43
120 832 0
533 852 -55
919 968 -12
342 730 -4
424 813 -69
240 781 31
354 906 -93
337 348 -25
169 626 -1
257 477 21
175 386 -18
80 875 -72
687 794 60
575 745 70
464 650 -47
153 374 -14
351 416 24
598 672 -26
845 984 -54
227 719 -68
182 373 -81
278 604 -77
68 278 26
441 651 -43
856 968 -31
211 566 -24
407 531 66
110 935 33
468 916 -31
709 871 22
649 986 60
89 104 92
72 576 -22
786 899 -88
430 907 -69
841 903 -71
170 503 -4
428 563 -29
76 191 -39
294 932 -11
508 634 -4
885 945 84
154 851 55
57 279 3
133 460 -17
887 948 -46
187 490 -82
118 994 -51
908 980 69
205 754 -80
260 788 1
418 857 44
317 863 -95
162 895 -20
403 433 36
397 988 78
148 248 42
253 823 57
660 962 -30
516 776 79
875 990 -38
769 959 -4
362 641 2
333 981 36
480 779 30
888 953 47
478 899 -43
253 923 49
149 688 95
600 999 21
241 276 -20
608 657 -99
787 830 -22
69 470 55
299 351 85
35 625 -96
75 593 -93
192 568 83
843 956 -55
155 964 40
115 984 -91
899 936 -71
249 809 -37
843 986 -96
578 743 40
310 476 4
261 783 5
415 547 -46
13 38 -6
230 936 82
38 672 59
109 657 -48
841 851 7
612 669 -14
321 872 -48
219 395 -40
247 433 30
476 713 -7
367 736 -43
244 475 -30
38 437 -87
1 555 -6
227 455 -14
202 955 26
553 558 4
312 622 43
31 987 -53
231 784 -33
73 173 -22
381 627 -48
836 963 -48
269 676 -21
78 585 51
742 795 14
134 368 27
503 513 -33
586 856 51
236 652 -68
769 967 -58
796 832 59
262 311 -85
458 852 -73
572 753 5
39 266 -52
246 356 -65
7 534 -55
66 303 59
319 898 -29
415 981 12
618 638 -79
37 390 -66
75 771 56
126 623 4
508 760 8
720 825 59
89 390 31
96 855 11
733 891 -64
331 928 28
101 986 25
530 608 -12
289 573 -28
644 888 -86
328 770 6
618 866 4
508 721 -71
51 201 -40
166 186 -31
695 845 -10
239 769 -46
478 985 -96
107 255 37
695 872 20
345 415 17
10 545 19
175 752 -25
188 596 6
706 779 27
277 690 12
531 750 -18
392 444 -37
707 736 27
347 717 -60
98 938 -63
125 722 -60
427 888 -10
516 923 -63
24 735 52
478 990 -29
57 696 95
755 908 -6
822 845 -96
9 543 75
86 249 37
53 360 -61
314 787 53
655 935 -79
343 375 65
282 472 49
198 293 98
374 559 -56
594 811 69
646 732 -55
397 810 51
96 284 -53
571 658 35
43 837 -68
386 919 73
382 644 49
320 975 -26
403 583 -8
212 744 -1
495 955 -28
164 878 95
352 916 57
832 835 32
135 213 83
806 962 63
324 544 -57
560 887 29
458 866 -85
33 974 -13
948 972 65
155 799 -63
599 933 9
473 560 96
148 654 -93
213 923 -67
653 733 72
37 187 81
148 158 17
81 298 29
31 640 70
464 967 44
139 620 -49
117 413 -14
121 787 -1
936 973 91
83 961 92
41 175 -12
814 983 -12
57 301 91
547 941 55
70 409 -55
658 857 -36
529 593 -62
489 807 57
422 981 3
316 404 74
366 725 -74
307 431 -81
38 852 95
47 632 -40
160 255 -68
61 478 81
537 899 86
853 961 -8
35 327 -98
781 817 -50
170 998 27
320 630 -57
278 926 -92
374 755 -79
263 566 -9
70 879 -42
104 241 -40
373 943 40
20 941 8
18 692 -13
647 907 -2
632 982 56
118 900 59
187 402 -33
226 995 -62
168 855 12
226 721 -80
91 795 -33
53 488 89
598 822 -77
68 937 97
183 691 -95
408 810 -54
16 367 86
440 767 9
43 913 -69
811 883 48
578 761 75
625 866 80
329 807 43
138 699 91
417 878 46
256 997 -88
59 651 -25
226 869 -39
155 715 7
691 889 -27
569 871 13
905 921 62
309 783 -44
917 986 -38
44 616 2
742 841 -44
404 808 66
292 294 97
111 164 -17
15 480 -73
141 670 -78
655 670 74
285 777 65
870 910 -23
190 665 -25
223 483 -67
437 685 -34
269 560 -99
229 830 16
143 499 84
919 950 12
211 436 15
626 693 83
351 915 -9
140 596 0
155 200 67
336 382 18
255 478 14
205 627 -86
54 63 89
98 473 50
13 176 -13
314 608 -25
866 945 -49
280 820 -25
74 141 55
94 119 -44
334 499 23
127 159 58
139 272 51
585 777 11
413 721 95
174 232 59
315 666 86
331 408 68
17 592 -52
718 811 11
82 563 5
691 869 -19
282 867 -61
40 221 -73
161 887 92
843 861 -2
452 755 84
565 596 28
34 158 14
834 903 9
53 723 51
295 626 0
693 786 25
80 553 38
575 834 76
171 958 94
343 762 -79
841 947 -31
564 884 42
861 943 90
568 635 -76
648 815 -93
123 390 30
432 977 90
90 822 -70
502 663 34
737 829 -86
177 771 -93
97 571 94
541 737 75
15 158 88
332 487 18
153 941 -11
795 999 -43
827 883 79
411 425 -5
347 353 1
530 893 -60
39 302 -3
274 633 0
64 215 -3
399 414 -90
633 722 41
499 599 -49
504 951 -79
33 193 -52
494 508 47
48 134 13
269 463 -7
20 950 20
24 714 46
312 597 -17
452 998 60
190 966 -5
473 853 11
252 477 -4
98 364 -94
115 666 -19
180 519 -61
115 279 8
628 970 0
658 935 -50
714 863 64
21 191 31
178 385 7
579 644 -41
97 355 -65
474 985 -27
795 880 -28
632 890 87
204 345 -16
101 224 73
278 281 12
154 860 43
761 860 -18
587 998 -56
878 885 -9
868 949 -69
152 438 -98
273 538 38
751 905 88
184 257 23
297 942 -59
416 939 62
372 653 85
507 672 -83
183 945 49
588 807 0
441 690 78
602 977 -61
21 895 -54
417 437 -52
141 990 59
396 849 -86
578 888 77
331 475 45
123 976 -61
523 577 -70
877 895 -55
294 360 22
435 701 -48
830 935 -44
23 822 41
705 939 -63
625 915 -25
499 648 -13
321 525 27
32 550 6
255 336 -84
29 190 -22
51 416 -58
174 707 -33
211 798 14
128 210 91
800 819 -54
369 561 66
251 816 -20
279 495 66
263 377 -39
425 550 -40
635 755 -45
90 235 81
889 908 68
449 835 83
256 437 -23
102 691 99
240 419 -83
16 624 -18
379 717 -98
480 806 -97
368 918 -40
104 376 35
460 631 58
410 502 47
1 131 -91
611 755 -18
217 679 48
696 798 95
716 888 -35
71 615 -62
21 882 -28
128 782 -6
258 598 98
169 560 99
385 648 20
269 798 -98
134 508 -34
97 557 70
399 469 -72
531 878 84
480 535 50
51 703 -28
50 702 -69
69 322 -62
98 554 54
546 726 -47
72 124 16
353 954 -40
691 887 -23
93 453 -78
506 600 -92
20 756 6
205 662 34
387 934 67
5 436 14
55 788 42
98 918 65
344 370 -35
81 296 -52
60 188 39
73 275 -44
208 313 -71
748 887 73
293 968 12
231 886 -83
319 926 -33
399 886 35
127 945 -28
174 401 -26
499 838 -24
398 737 -23
89 366 -22
319 406 8
42 76 -64
352 928 11
93 478 -92
618 771 -90
621 715 -42
112 567 -89
212 655 -30
617 640 67
384 681 17
282 735 -35
480 726 -94
250 337 0
51 243 78
668 809 -42
773 879 -90
59 764 -90
760 794 -7
41 643 44
122 591 11
312 927 -93
524 555 -89
184 192 81
309 372 20
511 782 19
270 680 -55
252 322 79
194 592 18
255 464 -47
289 987 75
109 825 -3
832 924 55
128 434 -40
348 807 64
88 793 14
62 608 -54
702 730 75
190 779 -9
702 918 -85
45 878 -37
554 577 -81
50 309 -69
453 636 -82
37 49 -6
118 482 -27
261 638 78
665 907 -48
542 638 -4
191 538 -44
667 846 -80
263 654 -10
651 717 4
198 432 25
105 421 -23
572 769 80
209 485 -79
23 777 90
424 795 69
580 686 -1
306 648 55
90 234 6
130 338 40
521 701 -18
251 358 11
27 354 -50
777 821 -71
474 752 2
131 310 96
543 603 33
85 326 -36
808 846 -97
58 409 85
237 762 -7
409 579 4
207 404 -58
155 516 -5
110 891 89
216 979 29
727 786 -67
135 606 -77
237 842 38
815 843 -60
401 672 4
178 562 -77
320 805 79
650 810 -84
105 888 -80
610 710 -22
761 846 3
616 955 -81
38 287 -73
652 952 2
323 583 26
744 912 -57
16 738 -56
347 979 78
91 834 -54
137 449 2
77 174 -3
6 728 31
359 940 -72
130 270 -69
219 726 -12
43 57 -7
14 876 95
150 998 62
18 426 -51
376 384 -5
94 278 -53
423 759 -50
148 415 40
457 1000 54
14 302 -58
474 651 -41
46 843 80
429 487 84
764 938 -87
360 938 -98
352 392 66
743 821 42
122 553 74
378 516 -99
561 781 -37
267 674 13
801 963 3
90 755 -84
498 651 3
146 471 99
51 674 66
541 619 47
399 438 -93
111 360 97
302 512 98
335 408 -45
50 985 -47
169 572 -24
24 787 -65
711 813 52
70 950 0
151 603 34
280 486 17
466 681 76
364 378 23
200 898 51
317 576 71
124 379 -62
74 363 81
268 866 -37
655 899 71
120 448 6
178 982 -22
182 874 -62
34 542 95
510 511 -19
225 453 9
72 647 -39
302 964 -49
411 708 7
82 689 66
829 955 29
178 862 -19
688 839 4
644 915 -1
793 913 36
108 938 -38
298 645 9
176 732 58
4 589 85
5 118 -39
195 597 67
421 863 -4
566 941 -40
31 231 -42
328 353 -11
171 880 96
111 334 4
338 744 83
692 803 21
576 626 -28
669 918 64
699 708 74
412 638 -88
237 808 77
570 682 -96
232 778 -41
387 863 22
703 840 1
371 618 -8
325 335 97
938 973 30
174 960 -49
130 847 38
61 613 -28
315 930 -61
547 970 56
305 607 -62
393 544 7
353 809 63
707 869 15
354 715 -54
319 883 -26
164 740 69
62 126 36
300 732 45
44 105 96
212 914 92
208 432 10
914 917 72
651 799 63
391 885 74
11 12 68
311 514 72
121 970 -1
333 546 5
716 754 -61
632 886 49
465 536 94
702 822 80
249 833 -56
114 582 99
653 702 17
199 524 49
591 763 -73
275 648 -55
91 803 64
245 976 54
12 494 -53
205 593 93
210 712 79
181 587 -14
88 295 2
362 811 79
344 613 43
98 589 46
461 752 -91
308 786 -50
82 849 -75
262 690 62
66 129 0
380 876 93
724 889 78
338 877 -96
488 628 -54
605 625 -3
79 686 -58
121 222 -5
287 406 90
736 786 -52
131 976 -23
7 620 14
107 722 19
75 678 7
154 167 65
388 572 25
329 668 38
243 755 25
373 849 -46
468 561 -15
634 987 61
62 269 -78
744 787 43
121 315 50
441 789 -60
139 683 -76
723 987 -88
556 635 -84
446 895 31
310 714 -73
53 769 77
281 889 -14
175 721 23
252 665 13
3 974 9
894 910 27
159 339 58
820 984 -55
104 634 -91
266 306 72
296 832 -92
607 899 51
661 961 31
59 906 73
570 784 -98
120 607 -12
204 592 -14
588 861 -93
235 287 92
245 744 -56
188 756 -25
99 599 55
606 883 59
212 873 -75
428 791 -10
205 730 84
843 929 0
24 158 -90
697 716 -38
46 167 -65
426 651 -53
329 650 -68
380 471 16
401 936 19
20 329 63
506 529 81
272 573 -71
317 390 90
167 596 33
902 925 -91
281 609 50
361 870 44
560 889 44
227 417 94
218 850 -31
923 959 -37
371 518 39
624 832 -92
543 792 23
412 521 44
80 290 -20
415 868 -37
269 985 -34
72 543 -67
359 794 5
450 542 -25
849 992 -36
369 381 -54
475 670 -96
134 242 5
192 754 -71
264 939 -60
618 650 -77
68 203 -23
52 712 13
92 220 71
46 868 -53
353 959 -15
88 151 54
167 378 -73
704 784 -17
93 906 -61
75 804 -80
294 652 -11
66 872 77
376 545 81
632 788 42
817 954 35
605 872 -39
201 697 85
518 627 50
162 169 10
579 940 -15
297 484 79
85 123 76
291 864 26
419 469 -89
619 727 68
244 819 -16
127 332 -55
418 771 64
420 696 68
170 845 44
708 724 24
494 615 44
413 693 -8
578 583 4
56 560 75
40 683 74
736 743 -8
587 905 68
393 980 -73
218 359 84
630 645 91
222 448 76
7 653 -50
44 477 -93
154 219 -87
59 808 1
200 975 -62
192 799 -13
357 443 -35
565 804 45
396 569 54
224 400 94
554 834 49
103 641 52
430 567 -53
119 365 97
233 827 75
149 821 -43
50 568 -80
127 449 35
237 960 68
22 339 42
940 949 -92
67 942 63
174 639 -74
18 811 42
67 423 19
455 549 20
691 890 -10
263 306 52
254 297 57
238 321 -64
311 440 -36
180 809 1
721 954 -94
527 667 -13
525 556 1
154 182 -71
229 450 -5
671 902 48
110 886 36
238 417 96
311 943 -23
610 938 -57
59 814 -86
58 564 -80
638 886 -98
499 556 -54
736 843 86
80 135 21
78 97 -30
34 40 -2
450 889 -44
298 677 76
75 563 77
632 925 -38
125 474 63
37 259 46
134 929 -73
577 968 -69
614 817 -80
157 291 -1
579 583 25
211 864 19
340 683 -92
72 940 -37
12 868 74
144 940 55
110 737 21
245 623 55
202 981 86
197 558 50
444 592 -85
124 383 66
294 487 40
97 437 84
107 185 -96
81 252 7
294 585 -96
203 548 -67
154 991 -56
629 676 -25
819 969 -95
480 915 -2
938 951 -78
487 555 -51
49 132 -70
938 948 80
443 937 -13
339 964 88
157 484 -40
316 695 -72
645 752 -22
238 627 -36
27 959 54
249 535 -62
276 824 -13
354 966 -22
190 463 -96
122 157 -60
436 873 51
40 414 81
237 999 -64
27 123 88
654 754 -36
108 859 -44
673 694 -4
317 815 -80
684 752 -47
681 724 55
269 720 71
98 960 -40
477 714 -73
335 518 -20
563 677 -38
520 993 -14
555 914 12
569 595 -50
22 288 5
334 647 -39
475 913 70
431 743 -19
59 419 -21
488 930 58
402 824 61
392 464 -61
520 838 -67
518 608 68
139 520 52
233 673 -46
720 731 64
207 976 42
256 799 58
72 573 -19
92 340 -30
947 999 99
489 753 -19
118 777 -22
189 839 -65
660 814 6
717 916 -52
289 725 46
64 677 87
27 940 -78
44 650 38
13 767 -25
843 851 -1
760 854 -79
133 476 -6
209 705 95
381 836 -32
775 811 24
461 915 -88
666 927 85
860 939 -45
125 698 -33
609 940 -88
645 785 -39
72 620 35
112 235 -62
27 903 -24
568 862 -33
800 931 -38
408 972 21
264 310 84
94 624 -35
48 123 57
235 372 -27
274 304 -16
110 633 13
187 433 7
496 592 6
295 567 5
417 464 -46
187 574 -66
230 884 -52
624 938 10
85 876 -61
62 721 16
223 664 50
517 856 95
442 671 39
368 607 -17
322 490 -42
297 405 -47
633 661 1
381 518 2
740 805 -25
661 821 -45
614 885 -39
209 491 80
623 883 -9
380 810 63
470 865 -56
12 382 -45
816 871 32
43 678 -10
402 915 -40
611 622 -36
198 596 -22
7 286 -37
395 502 -78
406 924 -59
147 492 -52
263 522 96
538 664 91
159 280 17
478 493 32
130 770 11
342 516 -65
266 925 45
598 769 51
212 501 -28
38 620 52
85 166 15
207 228 78
496 569 94
192 773 -48
141 253 33
753 962 29
134 933 40
693 808 -63
130 180 19
250 759 -8
98 755 64
165 298 61
647 769 -92
423 608 13
54 908 -27
43 99 39
11 222 66
27 613 10
134 227 -30
692 743 72
65 690 -35
102 487 -39
507 967 -60
10 852 -35
154 215 -14
277 533 87
818 855 -99
372 861 59
196 437 -97
649 737 -68
482 704 -59
647 685 -46
153 913 -76
189 316 -1
133 501 -43
155 873 -41
702 739 82
604 828 -4
85 616 -94
241 262 71
154 448 49
151 764 40
652 784 40
134 938 35
118 225 40
721 845 -33
460 880 29
1 472 -38
289 800 -22
463 791 62
598 755 -20
240 556 77
219 674 18
152 415 -54
383 884 -51
236 490 -30
130 853 -49
464 667 65
87 570 -50
28 642 -76
195 246 -64
19 699 -38
254 890 -34
118 731 -74
176 970 -84
550 991 99
402 988 20
430 697 -99
764 891 -38
134 277 -69
166 956 -78
73 454 -8
593 629 82
494 634 30
36 251 -14
299 814 42
882 930 -29
151 158 53
459 732 -23
185 384 76
11 328 -36
19 645 5
622 820 47
690 986 -60
571 943 -80
445 834 -7
383 566 85
118 414 -18
107 425 -16
478 975 -3
146 651 -69
183 340 -48
125 430 -94
154 615 23
536 961 -33
374 604 48
63 417 21
391 725 -89
359 727 -18
541 768 -80
375 549 -85
761 880 -94
680 721 18
219 635 -95
635 869 35
225 594 65
636 936 37
755 770 -92
430 496 -17
190 512 88
543 559 -6
654 777 73
461 523 92
38 758 -38
229 745 99
644 998 53
73 323 19
186 361 74
919 934 56
130 587 -10
655 942 -27
419 764 2
455 647 58
98 865 -40
61 187 -35
11 421 -51
296 708 37
189 900 -42
554 622 -60
40 116 76
535 570 -33
399 874 88
325 934 9
687 761 96
469 486 -14
738 909 -38
531 952 11
67 488 11
345 374 -5
195 570 61
371 519 -60
309 483 -37
104 147 59
13 450 -25
401 837 -15
127 324 5
812 823 -73
235 358 47
160 957 -83
469 673 -93
405 776 97
375 854 -81
212 850 -24
231 976 -87
394 461 -42
47 142 -77
113 301 -45
239 785 34
584 643 51
733 959 1
527 934 59
48 109 11
860 954 -55
95 285 -60
397 758 -15
602 996 43
186 495 37
580 939 -68
128 817 -73
185 527 -81
437 490 44
257 721 -30
15 198 0
445 799 51
189 291 30
199 479 34
679 860 -75
194 587 -21
152 844 82
349 384 -70
180 274 34
665 814 -43
130 216 91
341 919 -49
676 745 22
331 444 87
222 947 -34
658 957 44
931 979 -9
705 996 -88
32 834 7
609 950 62
353 885 50
390 680 60
611 648 23
657 768 -6
99 716 34
420 423 -55
463 806 30
423 745 84
981 987 10
376 723 36
260 722 56
379 664 -68
703 731 -69
478 577 -6
391 589 41
178 685 -40
103 164 -75
177 664 -28
275 485 79
148 648 -29
52 703 32
839 980 -13
556 780 35
85 476 -80
156 930 38
172 367 55
204 336 -98
335 581 -32
665 984 -67
382 856 -84
220 289 -1
47 282 72
112 790 -33
789 830 -5
476 857 -87
20 437 46
415 685 33
148 419 77
679 990 -59
485 961 63
596 797 -61
467 938 -61
249 675 -22
422 620 81
188 616 -46
34 424 -73
103 633 -62
117 127 15
275 929 92
706 747 76
306 551 -31
766 972 -80
127 381 44
318 903 -39
303 903 -70
381 638 -86
379 566 70
436 547 -32
449 617 -64
382 597 30
76 776 78
18 445 -33
456 920 69
56 93 58
229 786 -72
127 758 -12
329 374 -94
98 405 -29
15 467 -47
470 817 89
48 224 -74
276 947 32
245 704 -28
675 925 34
106 952 1
555 883 4
504 897 11
501 672 -30
257 549 6
204 539 -29
135 610 -87
284 574 60
462 680 90
147 345 -6
2 718 -10
293 571 -18
525 550 -97
279 415 -62
50 888 59
220 624 -6
33 349 -39
199 848 -21
268 632 21
276 792 -59
658 669 -80
644 936 83
45 295 46
105 866 73
266 453 78
300 816 0
283 374 24
165 284 -86
293 367 -67
10 603 -3
102 897 73
100 206 10
365 989 61
514 640 13
238 887 -83
270 874 87
207 636 45
149 809 -51
477 602 -69
532 576 16
521 830 70
343 437 -85
26 321 -82
590 922 -64
128 162 21
311 625 43
102 513 -70
239 397 -68
68 791 79
227 917 -89
237 324 2
246 919 -2
81 976 -12
356 601 5
76 221 -29
50 314 -36
16 841 -41
285 483 -70
159 526 98
444 453 79
492 780 65
200 624 32
515 699 -39
564 976 96
343 591 -74
