1000 1000
59 724 -13
240 617 -15
22 776 73
367 702 -57
232 591 -83
524 894 37
115 968 -16
411 671 66
469 580 28
196 549 66
570 592 43
293 901 13
150 485 33
395 472 90
407 938 37
817 905 -53
134 836 96
63 329 59
654 655 85
251 907 -32
367 400 50
190 393 -6
245 800 38
144 149 56
277 653 -19
67 131 6
744 785 -68
254 994 33
536 972 -38
46 928 -90
290 781 98
355 924 76
196 359 -8
678 715 47
568 810 -56
642 821 47
87 529 55
484 647 -86
285 427 -13
390 991 -1
410 938 -72
476 620 -32
341 539 87
982 987 2
73 159 68
157 907 -31
191 297 -84
39 539 80
5 948 93
426 976 -59
499 766 -73
486 728 59
238 981 69
201 887 28
498 613 61
151 843 -62
508 847 -25
286 637 -88
136 914 -1
641 813 -33
145 403 71
600 604 -60
565 774 -39
202 616 -16
61 94 88
29 731 48
250 942 41
414 775 -11
436 530 -41
387 402 -36
276 527 -17
829 886 -8
649 980 34
677 983 78
584 820 -50
715 946 -6
150 200 58
247 601 86
856 874 73
93 282 42
282 529 84
763 863 78
829 934 45
405 543 53
604 665 -79
418 911 -35
9 273 -37
642 780 -40
308 977 31
510 740 -66
113 690 -3
517 610 75
207 274 27
63 624 19
158 423 64
289 457 -85
433 569 17
430 437 48
804 901 -3
331 413 39
268 538 -73
245 682 -60
402 725 -19
533 858 -90
426 460 88
389 896 26
192 382 -15
156 712 -93
567 775 13
812 874 -63
784 950 58
641 949 97
286 409 72
674 951 51
332 367 73
167 874 95
86 461 -7
71 686 -12
124 854 19
72 618 11
255 536 -35
487 939 97
657 671 -12
189 561 29
337 373 -21
687 760 -96
569 810 -58
186 370 12
200 905 -71
490 921 60
125 591 79
37 262 4
927 950 -71
568 965 21
488 780 -5
70 501 -64
621 888 99
412 809 -59
339 888 -81
287 600 37
209 565 -57
128 931 53
11 710 39
433 456 -18
170 344 14
474 581 1
136 812 95
133 422 12
341 922 -17
853 871 87
233 427 -75
794 883 17
584 963 -28
57 982 13
117 810 82
647 942 -26
444 569 -6
594 666 -33
20 161 62
306 632 30
215 559 -13
580 893 -42
389 825 98
125 472 67
474 921 11
419 497 -83
10 399 -43
30 227 -34
785 800 -66
61 379 -37
288 886 -52
412 820 99
263 646 69
105 111 5
503 602 -86
73 828 80
699 872 -40
30 760 -72
225 317 4
156 397 63
385 418 8
15 489 51
138 616 -27
210 708 -5
398 758 -86
427 460 -64
36 569 74
76 938 -24
322 986 24
76 1000 -4
213 732 8
166 791 -57
916 945 16
282 756 -88
202 963 74
252 399 -21
736 846 -85
591 921 0
461 674 -57
816 979 64
760 781 -86
375 414 56
231 689 44
366 982 -63
212 950 51
504 540 -68
226 317 -28
41 393 39
126 526 -17
675 853 -57
854 905 80
220 344 -2
406 645 65
234 261 -48
129 812 70
762 874 -55
373 888 40
399 651 83
504 816 -40
495 512 56
252 475 -91
708 792 -88
312 920 -74
73 430 94
154 288 -54
739 938 -7
100 554 -15
724 947 72
198 616 9
151 407 27
202 462 22
717 983 -97
4 952 -92
42 952 33
403 601 -63
324 936 46
608 903 -30
610 758 -86
164 809 56
6 877 -85
309 730 -72
33 906 97
661 858 83
682 949 -6
290 889 -11
130 658 58
487 496 -65
226 939 44
442 844 44
455 829 -34
862 993 -4
116 881 53
575 965 42
56 253 7
273 748 -35
563 833 -34
626 979 59
46 159 -33
38 791 74
128 258 -98
54 741 -95
55 993 -1
680 690 16
703 874 -99
34 459 30
116 856 -15
258 791 61
270 513 89
253 285 35
490 692 -37
531 754 15
316 809 5
126 888 84
4 301 -25
443 740 27
217 252 38
227 854 0
68 438 18
544 934 4
310 601 -92
198 577 -59
229 637 -64
645 728 -34
213 473 86
51 287 13
77 932 18
123 218 22
515 785 95
307 443 37
296 754 -93
398 428 -53
253 540 -27
178 694 72
191 625 72
547 666 63
61 611 86
270 724 -78
572 829 -86
292 1000 40
831 920 -5
30 613 61
221 487 82
33 498 90
461 877 52
531 952 93
102 880 -57
172 250 3
170 610 13
328 991 -70
506 814 99
355 542 -94
647 770 -43
177 189 -52
421 562 30
435 812 -96
11 396 65
189 338 -48
46 100 99
695 994 -66
462 693 35
651 688 -47
230 601 13
16 310 -47
672 914 -48
102 449 -62
563 900 -45
464 609 -7
843 926 21
21 882 45
251 659 97
529 958 -51
215 977 56
129 455 -72
480 918 -40
263 322 -17
283 415 -35
73 985 -50
179 382 -35
439 707 -1
10 653 -13
86 464 20
565 962 23
224 994 91
180 408 -42
516 893 -76
423 664 -39
41 454 -14
50 480 38
460 566 46
421 822 19
167 511 -52
42 595 58
687 839 -53
393 702 -40
607 785 -12
87 852 51
650 663 -32
204 823 29
67 282 67
229 378 -64
416 471 -27
215 420 22
27 588 -37
589 791 -15
248 590 86
668 804 4
301 372 -76
101 994 47
464 627 83
46 959 28
546 566 35
506 651 -39
251 378 10
45 315 -22
39 251 -25
173 596 -54
799 990 88
469 948 -67
387 803 79
671 806 90
48 901 60
567 735 -88
14 985 -43
186 750 90
431 739 -30
150 252 30
63 305 80
571 733 -16
823 977 23
12 711 -45
25 89 26
190 970 -48
752 780 -18
201 929 -91
263 873 93
210 795 79
186 703 58
704 715 -42
145 921 4
242 253 13
284 384 -47
340 485 -48
295 564 45
504 925 26
685 980 88
