500 1000
104 399 79
43 127 -78
326 393 92
246 253 65
245 273 -89
42 165 33
252 393 -58
371 398 -17
197 353 22
176 401 75
226 420 23
165 241 -28
14 171 -88
122 187 -47
6 225 -46
255 317 15
365 490 2
230 242 -59
149 435 -48
175 329 24
214 499 -45
187 394 66
114 399 57
282 425 12
115 414 -85
196 497 73
431 474 -59
136 302 -96
294 349 88
39 156 98
121 156 94
81 407 46
21 84 0
80 474 62
122 299 18
109 167 51
441 460 -44
143 448 39
298 434 68
340 367 23
224 451 78
49 393 -43
366 414 97
50 432 -30
127 342 -92
121 232 -7
28 165 99
223 394 66
298 345 77
173 237 95
86 194 -27
95 358 58
204 337 -27
435 487 26
14 227 -54
301 374 -54
218 384 -99
56 396 -59
187 441 -60
397 471 -73
174 453 -40
120 291 59
198 366 13
220 239 -99
103 300 66
47 78 -1
117 214 -72
37 398 48
202 341 69
81 460 -46
299 412 -6
132 158 48
15 457 -43
97 445 -40
65 163 -24
225 314 -59
65 282 -9
208 362 32
39 120 0
197 449 -35
316 431 59
52 380 71
117 448 91
172 351 48
358 484 11
66 497 -56
109 387 -86
58 122 -39
53 151 83
155 202 24
102 268 -51
118 452 59
309 324 98
7 320 61
400 468 -40
22 432 48
82 232 -8
385 386 -4
152 256 -10
207 322 -73
145 224 44
206 231 73
14 106 -73
322 445 55
53 464 11
200 316 -27
238 423 -22
397 411 47
120 292 22
349 448 98
324 461 -35
145 391 -85
206 498 -89
313 317 6
406 430 -15
326 415 -75
58 150 -98
98 249 63
73 200 -66
152 442 69
149 159 51
11 328 0
116 440 0
383 476 12
126 263 -97
12 262 83
150 313 3
154 473 52
305 484 -18
167 219 94
296 335 -73
123 338 7
101 206 73
158 467 -98
159 402 35
227 489 17
136 145 -71
118 355 -67
341 413 8
116 178 86
13 173 -40
139 170 20
357 393 -43
13 345 -31
148 255 98
66 372 -45
206 258 -23
174 362 64
157 374 -36
148 309 74
165 270 -61
245 282 0
232 268 -9
85 438 -11
228 299 7
144 384 -18
345 453 -73
114 487 -29
30 231 -74
161 381 54
216 393 24
301 336 -43
63 451 73
95 392 -80
236 306 -18
293 400 -94
122 430 55
110 282 60
37 177 -58
202 372 78
153 253 -83
116 144 48
67 421 -79
27 467 35
43 148 -60
152 421 58
217 458 -56
271 287 -66
39 402 -72
17 221 -65
197 287 -1
89 223 51
112 131 54
13 385 12
81 321 -73
108 192 72
445 497 -31
217 297 1
103 494 59
43 312 -89
144 275 -57
8 470 3
291 430 38
63 473 94
60 427 29
183 223 82
285 443 -35
106 277 50
8 420 -42
298 330 65
79 156 68
71 115 20
41 402 8
437 444 -34
170 238 -51
102 446 -25
20 462 -94
170 361 61
130 368 50
244 323 -70
77 380 -3
138 323 84
160 336 -5
31 290 -73
168 403 44
6 380 70
322 487 36
308 496 69
39 173 -35
163 373 23
60 229 -29
111 155 -2
47 323 83
255 404 52
190 428 -23
349 393 -98
418 486 98
74 358 4
86 302 17
241 421 -24
319 360 -67
114 473 -63
139 162 67
198 203 -83
123 188 29
273 299 -86
111 219 78
99 323 11
71 427 80
66 200 -44
44 417 0
93 184 -30
212 223 -37
11 324 -63
287 342 -69
433 440 47
212 428 -92
37 479 -76
29 432 65
64 396 37
227 460 35
399 403 -1
224 241 0
8 248 -41
28 486 46
23 423 0
118 303 29
13 67 54
191 294 92
47 89 -35
88 270 -12
254 335 47
194 239 -19
469 472 -18
89 248 -88
166 343 -76
33 421 57
445 467 53
32 366 -16
64 471 31
3 109 -73
92 326 99
40 191 -18
382 495 -70
229 267 91
25 245 -72
241 463 -26
58 304 -41
61 168 40
259 392 51
222 431 -9
68 380 82
374 460 -18
444 470 92
19 184 64
76 358 3
25 296 25
188 229 36
298 450 -33
29 416 -1
289 473 -24
217 416 -41
235 406 89
116 245 1
41 227 74
63 307 96
331 360 -23
98 177 -28
53 149 96
8 296 -15
253 369 -49
95 177 -71
239 420 -7
102 483 90
160 419 37
286 323 -75
323 442 48
16 301 -79
282 385 -96
310 420 83
340 443 -49
40 278 -91
310 429 47
23 214 -77
316 426 -9
90 294 20
70 223 59
341 443 30
281 386 -24
172 316 50
97 250 16
95 273 49
260 372 -7
201 429 -93
54 350 5
236 496 -21
46 368 46
41 299 -18
20 487 -61
131 270 -74
50 69 -4
410 474 -87
161 498 -53
206 300 -59
184 349 -26
77 197 -20
217 282 -24
403 500 29
134 420 -1
142 396 -12
266 302 12
273 418 77
4 308 15
36 201 -50
169 275 66
126 496 -74
77 482 -88
2 218 -72
119 137 29
7 409 -4
11 472 -51
7 454 30
229 297 98
293 473 50
391 401 53
178 392 -40
70 314 -49
77 255 -90
94 226 0
48 331 11
62 127 -32
34 435 -47
101 326 -55
130 448 30
18 181 17
160 287 83
253 384 99
66 411 30
316 472 14
62 250 -43
163 251 47
199 278 86
310 456 12
115 248 63
131 463 70
2 374 -38
53 169 53
49 115 -96
44 300 23
173 211 -16
166 281 -33
28 297 51
74 260 -56
295 427 -80
87 200 64
135 413 45
269 456 34
403 479 -65
183 300 80
96 332 -18
257 275 38
372 422 -77
458 494 85
406 431 -29
199 216 92
210 471 -77
9 358 -14
41 285 -10
2 412 -79
110 373 52
90 103 -24
354 372 72
117 422 50
180 327 -95
37 462 -42
247 454 25
57 307 -89
166 294 -59
235 484 80
190 405 -78
22 182 5
101 361 85
29 63 -77
334 403 17
159 460 -69
29 304 48
281 364 -94
186 225 -66
72 406 -57
173 495 -67
23 45 98
300 416 -46
16 426 -38
388 396 17
20 464 -63
31 188 14
224 454 11
219 431 -63
14 327 48
147 429 87
27 163 33
266 403 -20
37 366 41
419 456 98
62 180 49
265 344 89
279 290 -95
383 437 -64
50 261 59
233 453 10
4 269 -22
73 311 57
407 486 -38
81 172 98
146 370 7
124 380 -7
174 320 65
52 328 94
18 331 57
267 442 82
74 174 -55
6 254 -97
357 399 -84
481 492 18
163 436 30
116 425 84
94 294 90
126 361 62
199 418 33
172 431 29
139 314 -99
158 470 23
254 258 -85
31 122 69
216 461 58
86 221 12
246 491 90
28 472 34
286 487 -36
260 456 -13
366 499 36
121 459 18
130 419 14
202 279 42
33 376 -4
140 356 -19
56 126 -86
168 401 -97
251 434 -27
392 498 9
376 479 -68
63 154 -71
429 447 -82
203 420 -42
110 230 -28
178 482 8
88 464 -6
68 438 20
89 444 -95
152 320 29
248 464 -51
18 47 14
128 243 -3
65 273 91
152 350 -41
162 418 -56
103 304 60
123 342 54
306 307 -39
154 353 1
58 249 -39
122 131 -55
49 333 65
211 274 -61
77 474 69
168 324 -72
365 482 98
18 301 64
104 358 -37
87 393 -54
294 372 67
481 497 19
289 306 -76
101 464 48
148 465 -78
300 444 -51
90 399 -38
145 334 -2
369 422 -81
1 254 89
141 266 -83
33 367 -49
180 328 -16
123 321 38
177 410 -57
173 261 -21
34 55 57
47 56 98
165 434 -99
349 466 -64
29 434 -26
165 254 -23
193 382 8
182 494 -57
15 237 65
216 414 38
150 491 -59
24 191 -63
290 309 73
97 307 -27
37 330 -15
218 326 1
192 219 -48
288 435 81
130 493 49
17 365 -90
155 316 -90
18 412 62
231 406 15
56 469 -80
188 230 3
17 237 56
230 458 68
323 411 -73
226 364 92
155 234 -30
385 498 13
395 467 42
298 476 78
9 196 63
190 420 -97
197 216 -28
66 94 24
319 340 -88
116 367 -57
105 498 15
31 359 69
219 220 -73
260 261 -13
94 327 40
188 317 -74
15 135 41
233 499 -50
218 349 -36
158 248 35
109 376 43
220 409 -43
3 37 89
353 417 15
283 409 36
260 487 51
204 340 13
149 349 -22
109 418 -63
326 360 78
220 396 68
437 488 -34
345 472 85
310 489 62
228 329 -68
143 228 -52
60 169 -68
28 447 -64
18 285 69
221 405 75
61 228 -72
401 436 -53
15 274 -9
214 268 -30
299 382 -63
97 128 30
1 264 -70
246 257 53
126 158 -71
413 478 38
100 103 -69
314 452 -48
112 250 3
91 434 -62
134 286 90
231 444 -76
101 421 98
78 289 12
134 389 53
85 303 47
266 351 -82
45 137 62
178 253 -15
44 48 48
144 299 -52
87 117 -4
210 250 79
128 364 70
253 478 37
150 400 -39
4 407 -86
87 450 69
375 385 17
474 491 -1
