1000 5000
272 930 84
538 616 -52
209 947 -77
179 218 -45
380 650 -95
851 861 58
696 754 88
316 449 10
347 720 -32
686 962 -36
515 632 -8
506 732 -18
66 507 14
269 925 18
507 678 -10
307 873 89
23 219 -86
60 723 -2
237 863 52
369 824 -81
748 889 -93
612 672 -72
335 471 -93
560 635 54
141 657 9
215 364 58
227 963 -22
257 786 -20
4 767 34
7 378 27
421 694 -24
131 408 81
623 692 -31
407 890 -39
763 852 30
19 752 15
518 550 -48
777 909 94
71 549 5
553 587 -71
503 630 -10
651 744 -20
765 952 -35
55 951 55
501 557 -69
616 685 -61
38 567 40
153 264 -15
118 127 -70
129 191 -58
447 494 74
182 749 -70
738 993 8
608 722 6
288 547 -86
162 703 -26
97 181 -42
1 639 0
227 799 79
408 503 95
157 495 18
230 925 98
38 823 61
92 940 13
388 456 31
132 809 -57
190 710 -53
302 692 65
458 885 -90
90 809 7
479 569 14
229 860 -92
36 124 72
607 782 50
956 971 35
102 257 50
542 986 4
12 983 -24
40 933 81
574 620 -38
49 663 -2
444 653 -21
457 960 -79
331 558 -81
224 738 88
113 750 17
504 751 -72
676 863 81
525 684 -29
51 688 -86
218 859 -14
849 900 -62
351 586 -79
464 697 -67
447 841 93
55 627 96
662 926 -51
328 338 -98
555 914 -6
762 969 -28
609 672 -33
401 657 4
593 950 28
126 928 -78
51 830 -88
167 988 -68
253 575 78
808 895 11
745 768 51
209 498 78
510 808 36
315 933 -25
144 667 16
6 685 86
611 965 22
124 686 -22
783 827 14
387 545 68
106 352 32
359 772 22
377 739 80
367 424 90
613 684 -42
650 666 97
364 844 10
80 908 76
537 810 46
520 569 26
560 660 -28
619 926 -19
63 583 67
80 465 -15
180 726 -3
157 332 -49
141 297 4
217 983 6
535 542 61
505 834 -27
195 248 -70
11 686 52
763 808 80
30 139 15
372 678 -90
198 355 73
84 488 -14
321 495 26
41 49 45
86 550 -44
357 925 -71
139 955 73
417 511 -29
56 966 -11
179 543 -88
368 673 -33
416 731 15
280 413 1
337 525 -81
608 663 -26
24 208 -88
263 501 -88
31 730 -22
97 856 66
235 938 -16
647 770 -55
38 294 -77
956 997 80
163 870 59
722 748 85
9 477 -57
216 924 88
505 510 73
627 982 90
19 820 -27
61 775 -85
282 745 -65
704 844 -57
615 712 -96
385 538 83
210 242 6
191 749 -38
568 719 26
131 312 82
400 408 -65
103 223 22
837 872 44
256 580 -24
384 789 -67
132 559 38
629 817 -44
79 128 -69
287 479 -89
509 764 -98
635 895 -73
251 474 -90
511 634 -92
69 484 -15
300 561 6
328 991 -65
507 614 53
204 271 -69
98 943 -46
193 590 88
452 482 42
317 758 19
670 726 -46
53 765 80
234 271 -90
660 789 45
602 944 -60
49 533 71
882 914 6
24 126 -65
203 264 -56
28 890 -23
114 123 38
636 773 0
580 661 72
62 844 -99
6 110 -44
362 484 28
625 938 -92
827 916 -50
141 382 63
65 777 31
77 104 22
300 674 -84
32 981 -92
342 773 99
710 844 17
112 920 -36
61 400 -97
464 582 -95
685 770 81
166 444 -91
146 636 -88
409 540 4
384 774 -5
46 842 38
593 688 -45
269 893 0
662 682 -88
33 200 -78
668 919 83
340 459 97
465 903 39
96 730 66
769 964 47
748 856 94
782 983 -73
367 905 -76
212 823 -13
63 903 77
217 965 76
196 298 -51
159 251 -7
351 502 35
561 836 -63
140 465 40
169 802 -72
370 850 48
397 700 -37
245 302 24
98 860 -34
421 598 -38
131 738 -27
204 237 -93
357 667 40
489 868 96
188 886 21
147 482 -92
358 628 15
225 406 18
298 537 -53
501 800 -28
466 769 -86
258 383 -99
173 621 37
483 671 -32
110 248 9
228 653 -99
105 878 12
841 904 -86
225 610 -4
56 607 -62
581 653 -80
135 713 82
312 493 80
72 632 -4
169 737 78
10 617 -12
469 841 -36
851 877 -77
58 503 -10
122 394 -31
238 865 -47
496 604 9
288 773 27
256 640 51
460 940 93
623 790 -95
32 907 -80
652 865 -84
685 729 48
158 288 59
87 797 92
78 296 -46
235 393 -24
15 72 -20
301 978 -50
136 517 -68
418 820 -20
575 980 18
418 711 -74
7 922 -82
314 959 68
31 989 77
629 642 40
116 209 -2
575 978 -92
263 554 -27
326 402 16
199 323 23
245 510 19
97 233 98
77 591 83
138 152 -77
223 712 -84
12 485 86
414 755 92
305 769 27
13 447 -52
604 895 70
546 854 -62
343 641 77
215 562 -69
574 608 -60
353 362 25
205 473 -31
184 651 81
139 904 -68
31 109 -32
23 910 -3
173 824 -87
132 148 -86
852 864 -9
69 693 -60
594 877 -15
484 497 -2
488 867 -54
397 910 77
434 765 -67
54 264 -8
271 918 90
304 963 -55
24 897 9
312 507 -49
757 799 13
443 666 18
207 439 15
492 777 -35
47 79 -97
506 734 51
461 529 -26
124 429 -11
77 185 21
292 519 -52
669 730 45
445 833 -33
263 784 2
106 641 -29
56 566 54
18 484 63
94 137 21
428 874 87
585 894 82
768 770 31
87 903 -79
192 709 10
116 618 98
114 635 -22
544 602 -43
84 770 -89
20 972 -52
92 236 72
322 552 36
247 612 -22
216 773 -29
238 353 -82
248 678 -18
461 761 -31
432 736 -20
93 971 -68
405 996 -9
3 484 -37
419 608 -20
55 123 -82
84 253 -38
122 713 -28
249 857 70
239 342 -23
643 685 95
520 685 -15
103 988 70
5 394 -47
38 257 72
1 160 17
250 540 -46
370 779 -30
278 406 -17
962 985 -50
373 972 -41
377 941 41
866 978 -58
828 867 56
367 403 -9
125 392 17
670 687 -6
209 672 -98
392 582 11
553 684 46
305 770 1
132 358 -54
761 864 -94
608 912 -65
572 951 10
10 133 67
679 753 -74
22 583 -49
326 951 39
661 795 -7
10 302 -56
422 566 44
346 856 88
217 456 -42
487 917 -56
206 290 72
113 509 -24
84 259 40
385 949 36
370 481 -16
305 336 43
86 113 -72
355 629 18
144 835 -10
387 608 14
470 507 -84
455 721 7
202 325 -42
138 981 -40
224 665 94
293 766 -72
184 261 72
570 739 84
245 569 -97
290 457 -26
133 821 30
523 958 -9
187 657 61
387 774 9
835 922 -52
337 573 33
183 905 19
640 798 39
471 618 36
345 499 59
274 507 14
376 660 -64
210 917 -22
9 253 -55
191 875 54
25 794 53
542 616 -68
381 392 95
262 654 -28
193 637 -96
371 461 -84
340 379 73
566 628 50
704 773 -31
152 246 -52
248 884 -86
415 509 -4
501 960 94
731 872 84
58 70 70
37 922 -24
808 977 0
312 953 -62
200 449 35
215 340 8
603 841 97
134 334 -64
543 836 -89
109 967 -38
640 774 -10
573 944 31
373 419 -54
463 758 64
418 762 -12
678 895 -56
599 865 -66
457 565 60
448 771 74
343 758 -86
176 441 -53
256 470 -34
231 599 -26
276 335 64
933 983 -15
439 577 -38
347 665 29
422 516 -7
113 308 -84
582 819 86
65 418 -39
256 400 88
590 704 -32
71 632 -66
735 896 71
479 763 7
744 944 -84
571 915 88
680 988 -27
288 616 -21
306 672 -56
523 728 32
4 770 72
832 835 53
576 938 53
694 860 -72
252 374 -36
711 868 -88
16 146 92
20 826 8
181 582 -24
330 765 95
150 267 -80
353 843 24
605 614 79
324 821 -61
318 906 -33
695 731 81
207 628 29
478 536 -31
627 912 -32
309 617 -40
672 922 -43
492 757 -83
369 662 -49
31 415 59
341 589 -33
165 818 30
263 428 68
571 709 -15
659 732 88
24 767 -35
393 937 -76
236 968 0
576 634 83
14 150 -40
509 628 -72
217 588 -94
483 599 -75
507 611 -96
548 725 -8
609 960 73
510 594 -32
525 875 -19
34 644 52
231 799 -1
281 777 -45
394 740 -40
119 502 52
278 462 68
653 787 97
178 469 -15
418 718 22
194 420 -40
581 814 70
75 82 12
705 734 -50
386 748 -3
371 569 24
290 641 -73
58 249 -60
668 901 -87
458 833 -15
181 533 -61
112 914 -78
211 935 -13
657 690 -10
536 682 -56
717 784 93
581 969 35
390 752 67
229 284 -61
293 692 46
412 579 -32
195 454 -32
542 730 77
610 623 -68
203 304 79
407 799 17
379 431 37
437 723 -74
59 200 -35
253 420 -91
421 961 -99
43 868 0
171 232 39
30 109 18
209 540 80
855 997 14
266 802 52
396 573 51
403 816 55
270 956 -53
345 539 21
454 692 -78
211 252 57
224 417 95
25 700 51
95 755 82
158 290 -18
597 924 -70
268 644 -53
84 336 -16
294 727 86
334 950 -91
33 943 -23
49 758 39
47 858 -84
133 907 76
182 551 24
265 593 75
319 714 -18
362 399 -94
656 870 -60
627 1000 -9
209 246 -66
153 795 -92
269 976 91
467 861 48
533 767 -99
129 746 13
615 974 -39
326 750 16
283 347 -78
23 77 52
291 844 -42
663 791 -33
833 909 -24
190 930 24
364 516 -87
104 465 77
386 656 9
30 215 64
58 859 74
1 208 13
391 393 97
174 580 -17
538 705 86
161 365 16
179 372 59
393 576 72
599 787 -69
159 435 -95
346 825 -23
793 871 50
138 498 13
630 854 -54
266 808 77
194 403 1
353 523 -65
814 957 60
511 637 -89
92 429 40
254 581 86
235 842 -62
107 340 45
94 947 -30
397 469 8
562 722 62
152 358 3
595 944 63
350 549 60
323 543 29
15 475 52
284 774 57
32 919 -22
640 985 -15
171 488 -33
115 549 -9
251 570 -49
31 245 -45
151 506 -69
434 680 -23
299 598 -60
128 283 -36
298 422 52
323 462 -30
280 383 -16
215 663 88
365 659 49
690 725 -17
23 78 74
163 557 27
584 632 69
445 452 -29
731 899 -5
113 394 -63
404 413 -29
490 647 30
76 957 68
119 596 -88
158 579 -59
142 961 1
7 40 87
52 752 31
464 661 -99
307 331 16
287 337 64
285 553 -11
63 771 -85
264 439 -65
797 854 5
137 905 54
7 149 -24
193 689 -39
256 881 -83
161 895 -27
18 265 -96
15 703 -83
220 741 97
230 805 46
163 923 -36
76 115 76
332 613 11
507 891 65
14 507 -8
92 380 -58
184 809 -73
965 973 -42
31 895 28
106 505 -8
220 469 31
49 111 -2
415 711 29
154 940 92
748 818 1
596 790 -89
518 626 97
106 375 -71
677 856 -69
725 904 7
637 787 -63
208 576 29
25 83 -86
31 929 54
446 952 38
409 963 -66
170 888 -23
331 612 -94
558 967 90
320 765 -16
754 956 58
213 236 -91
164 882 4
844 923 -8
232 810 89
236 562 71
214 793 -72
342 885 48
60 649 73
272 565 15
446 472 58
394 719 5
147 950 -28
382 852 41
65 515 -33
208 835 37
711 894 -90
275 358 -51
182 663 -61
381 719 -81
810 866 -44
13 287 -24
153 558 76
315 744 -18
9 25 53
105 366 -71
85 119 73
307 803 33
117 430 -18
68 743 57
652 934 82
201 248 -31
185 209 -75
642 999 24
83 650 -62
848 957 -56
278 875 -4
462 969 16
199 748 -14
399 752 22
598 935 37
415 948 39
64 354 66
202 875 -95
53 101 -26
443 514 -39
407 994 -59
634 805 -7
232 646 -18
58 60 -60
179 411 46
53 994 -45
46 673 72
467 612 23
370 835 55
469 964 16
635 961 81
44 142 45
44 672 69
38 267 -79
504 939 45
222 468 -16
56 773 62
88 979 78
613 861 18
354 616 12
12 934 -52
201 385 -82
829 888 -95
113 402 -43
237 258 84
236 963 22
141 175 -6
19 108 -5
305 710 -18
94 354 94
534 891 -87
355 583 -42
427 840 -13
636 742 25
128 184 -43
555 701 -57
411 576 62
709 929 36
877 951 -47
459 491 -94
160 269 76
147 703 25
721 886 12
270 774 49
197 364 38
73 876 -90
104 391 79
233 574 -63
86 641 10
436 695 9
508 774 -23
373 395 -15
737 855 -19
63 82 -82
453 862 -97
14 788 -36
47 654 7
17 834 30
354 790 73
79 790 -78
898 996 -74
312 509 12
62 371 51
75 689 33
87 541 -78
762 910 -13
467 939 -86
65 728 -10
314 685 50
546 763 92
177 245 -76
285 510 -82
402 813 -42
300 547 84
648 716 -48
332 499 -5
451 614 95
47 272 -91
74 133 -52
48 887 96
655 910 -51
561 789 26
175 436 -56
14 25 47
464 843 30
467 523 -91
597 948 36
386 644 97
201 647 98
325 341 82
491 851 -46
505 946 16
140 347 29
221 373 -8
745 969 5
55 482 -13
112 256 87
170 788 75
13 322 -15
432 619 83
131 665 -67
38 976 70
72 929 73
287 983 33
721 750 -89
242 965 77
93 638 69
606 877 -64
270 432 -8
759 932 -68
42 860 35
328 769 -35
25 489 64
842 989 35
105 934 32
710 949 67
229 733 -41
160 710 -20
56 751 63
699 824 5
75 470 -45
81 311 -39
185 624 -57
278 573 -29
271 506 -46
468 981 -86
875 950 -60
1 666 -13
459 488 89
539 881 45
504 857 -73
133 603 36
583 873 -5
392 402 -87
693 800 -26
40 465 71
313 499 -1
545 847 -63
489 702 80
91 617 74
180 552 -19
159 923 28
555 958 -63
835 947 -77
179 499 84
1 378 -43
489 977 16
791 945 46
118 323 0
29 277 15
280 936 59
114 438 -29
566 968 -7
803 918 -27
744 779 89
288 886 70
371 757 -8
424 752 -70
330 703 -71
119 301 -32
492 866 82
294 910 -41
5 583 -47
70 870 1
662 793 62
86 333 81
14 853 -59
144 505 18
353 635 -4
398 615 0
332 500 -60
15 921 -30
676 893 -7
541 577 4
264 745 -21
292 408 70
827 997 -69
322 577 28
173 442 12
343 808 -57
587 766 -47
306 552 -3
167 178 50
821 973 -67
289 800 26
8 611 -86
449 799 79
493 738 -89
389 855 92
49 292 -13
226 565 31
351 889 14
640 641 66
106 1000 35
316 904 -54
405 497 -26
772 885 -69
684 820 -86
370 600 93
8 721 79
1 998 60
103 696 -99
363 854 -6
285 702 -76
56 147 -14
182 453 -22
769 822 71
203 776 0
201 213 -27
909 927 -12
119 132 89
404 766 -23
264 590 -37
12 42 -28
253 780 4
455 657 -34
514 870 9
322 792 51
493 793 60
584 611 5
43 173 22
303 407 27
184 555 44
193 480 67
345 677 -42
351 646 -11
491 872 -89
695 807 -77
52 90 43
323 355 -80
478 507 -21
957 990 -63
18 358 88
3 200 -13
423 903 -96
327 598 -6
102 730 33
214 425 -96
43 670 -32
11 148 -51
505 792 -99
314 344 3
216 352 -94
30 553 2
7 736 -46
302 595 16
265 749 -94
248 698 54
489 755 9
68 313 -49
17 944 99
2 848 56
704 738 -87
298 404 33
428 504 -40
125 195 1
301 464 48
98 128 2
154 393 -41
507 698 45
753 786 -85
189 720 -15
208 499 94
403 649 -40
89 112 -22
187 777 -34
276 930 70
325 969 31
17 106 31
88 147 -89
355 485 -61
485 854 62
585 942 37
272 361 10
899 933 77
109 253 52
477 484 -3
630 693 50
64 529 -95
917 959 11
202 543 41
473 804 44
88 622 -46
82 599 -49
82 405 -74
450 977 50
40 546 42
6 504 -68
207 262 53
198 417 -54
172 701 -48
651 950 14
355 989 45
896 965 32
794 827 -14
833 884 -94
348 497 21
528 898 -69
318 580 24
540 619 -12
811 880 -27
261 706 -51
439 567 -47
194 802 13
787 894 -62
315 684 62
353 939 75
140 830 43
424 950 5
684 809 57
5 375 44
110 551 25
740 896 37
424 852 55
142 283 46
43 422 32
290 466 -78
98 236 -21
593 718 -51
529 827 -89
269 579 35
430 443 -18
566 725 -93
278 608 -69
600 919 -24
187 546 -92
616 896 24
266 425 -67
844 856 -35
298 906 -47
471 793 72
423 742 -53
693 778 -8
253 676 -9
149 986 -35
604 656 -68
56 511 23
323 961 81
54 115 -64
147 419 -29
548 938 -69
431 543 -16
653 768 -18
287 308 69
694 945 76
267 511 -40
706 916 -21
476 851 -4
140 674 49
166 456 75
394 818 -45
32 467 -45
411 623 -82
133 223 61
67 233 29
79 92 5
244 833 22
227 420 89
536 887 -86
121 510 25
439 695 -40
503 821 -28
210 921 27
288 885 10
385 718 96
186 805 -56
73 943 38
16 415 74
454 968 83
164 470 29
374 510 -4
368 394 -95
192 752 57
15 730 49
309 641 35
8 662 84
620 629 38
783 821 90
648 682 -20
15 416 37
295 960 -77
327 661 41
319 929 -92
229 943 -39
848 930 72
102 915 -89
362 562 57
129 747 45
41 423 27
101 322 22
67 602 97
237 295 66
518 839 22
753 964 -1
325 611 41
357 639 92
21 61 2
177 694 -32
30 243 -38
305 618 -81
495 856 -5
820 860 12
497 842 27
214 730 -70
3 258 0
384 391 -39
47 473 -86
328 945 -39
404 804 -42
262 591 -50
378 432 -67
459 738 2
92 456 -66
658 846 -26
130 665 84
276 609 55
598 680 -36
189 487 50
217 718 -68
223 455 94
661 678 23
550 671 19
256 567 -8
532 565 -38
327 514 2
165 906 -25
623 994 59
216 854 26
51 866 20
240 952 87
495 648 44
335 564 87
443 661 -30
156 348 57
317 501 -50
170 430 -13
434 480 -22
673 962 -52
697 961 -44
31 484 -53
84 278 -66
424 592 98
92 401 -59
473 830 -99
274 906 95
448 587 -48
144 345 22
180 376 67
434 812 -85
84 210 -45
6 837 65
617 830 78
242 474 68
817 921 25
149 513 -40
508 876 -1
287 941 88
287 723 -54
644 772 -75
388 606 -11
281 431 -7
449 533 17
33 58 -5
565 859 94
36 497 -10
322 865 -80
409 636 -88
366 701 -54
162 333 -98
47 617 -93
451 674 -86
582 661 99
510 969 79
375 561 5
321 394 36
91 446 81
605 981 -10
356 597 28
68 159 -11
1 11 -27
408 521 -9
215 320 59
48 960 76
491 511 -34
797 843 -44
505 825 -11
892 976 80
161 338 11
568 821 -55
387 768 -29
258 815 -3
768 990 98
495 787 -99
164 672 -4
137 139 58
297 370 85
493 543 -53
35 612 -26
293 730 82
72 834 73
680 773 -51
156 936 65
292 424 -53
145 291 -55
135 962 -67
348 594 24
607 676 -3
777 792 55
159 901 -21
314 439 -13
214 219 -96
405 509 96
716 718 -41
266 662 -56
224 460 34
588 742 86
660 900 -75
451 642 20
770 860 -73
123 526 -15
190 457 -6
74 363 -38
174 973 -63
66 502 -48
276 514 80
269 754 -78
705 875 0
179 268 41
76 300 -18
15 757 96
82 813 -48
549 666 -63
344 824 -45
449 825 -24
477 881 -21
715 744 -25
367 644 -18
115 753 67
279 516 -31
416 795 26
491 673 -35
849 960 -13
436 687 -86
564 754 48
208 667 99
133 419 44
287 476 59
623 886 -92
328 910 54
287 720 37
407 624 3
188 304 -30
130 970 -57
554 900 17
514 532 18
860 926 32
371 645 -23
346 527 -13
544 831 30
25 40 -5
593 823 9
349 451 -27
499 881 39
424 624 88
346 512 22
391 736 -27
632 911 75
682 950 -79
42 856 -67
390 547 22
45 714 12
654 689 -39
62 517 -25
149 653 30
563 907 -35
367 940 -58
760 978 52
427 524 -22
140 188 -39
841 979 -62
40 940 -15
798 944 -19
56 107 -74
185 826 -41
162 594 -85
21 209 56
49 396 39
27 554 -95
263 845 -58
61 278 98
425 737 62
604 609 45
197 232 -57
467 792 -80
515 772 -77
326 773 58
36 917 9
547 660 -62
25 84 95
693 980 -12
924 971 -96
177 789 -56
434 949 94
154 207 94
422 457 88
468 603 1
149 980 -94
760 842 -86
82 584 83
492 760 71
366 926 84
480 871 -24
288 765 -11
566 719 9
714 957 -8
495 716 -23
78 559 65
50 189 -48
554 934 -57
534 765 68
32 650 -9
520 949 -17
426 476 -20
273 296 38
356 854 90
492 544 -81
40 425 -24
645 925 -43
453 677 -94
64 324 -90
264 842 92
31 559 -14
58 738 -19
601 901 -29
954 992 -16
160 599 -42
489 964 2
552 594 -89
483 857 -5
673 865 -30
82 550 82
503 612 57
874 918 61
385 956 41
444 744 86
689 777 -39
246 611 -63
194 270 -28
96 664 31
341 627 42
214 557 10
512 904 96
636 648 2
42 764 84
600 639 99
145 981 9
293 996 88
984 985 17
540 928 -46
796 832 -9
364 431 17
454 758 18
405 470 7
450 969 -40
614 682 18
17 936 95
215 294 9
89 372 -27
87 98 15
334 903 43
156 303 -8
623 701 53
172 382 33
459 981 -4
626 967 -70
650 690 36
353 747 71
267 686 -60
869 921 -49
569 903 -78
74 964 99
357 944 -55
323 978 34
572 980 38
276 462 -78
80 739 5
607 655 42
557 673 29
636 881 -64
237 772 -50
750 838 -73
409 413 57
226 237 47
853 975 4
199 507 -12
642 871 95
260 522 -39
32 991 -20
647 828 12
59 370 22
958 970 -40
175 246 -17
382 444 -95
23 491 75
16 751 5
6 379 -65
25 830 -71
199 746 -69
11 715 -40
10 608 -21
17 391 -68
297 859 -59
18 312 -93
359 748 52
540 976 -57
627 721 -46
39 989 27
48 949 98
317 419 -53
67 565 35
229 934 -97
602 940 -3
361 577 -68
340 815 35
205 463 75
626 763 -92
298 396 -52
388 863 91
590 617 28
543 632 33
603 993 19
769 907 62
721 990 -76
322 615 -60
166 619 -24
16 553 -80
809 957 27
792 814 70
90 768 18
349 534 -60
523 790 51
111 464 -51
676 981 65
598 691 5
406 834 -46
117 999 84
558 855 52
388 514 -26
230 303 -99
45 251 96
278 814 10
316 411 66
113 501 -16
401 581 -63
255 917 -47
426 782 56
655 656 99
258 748 -76
562 987 53
654 821 -39
208 285 4
269 960 7
537 807 59
233 816 -52
304 823 89
403 718 17
56 172 87
344 779 15
220 986 -96
256 840 9
415 422 -44
149 237 36
804 879 -90
596 809 21
161 332 -12
928 939 5
203 499 -71
434 458 65
111 855 -69
